Book,Author(s),Original language,First published,Genre,Approximate sales (millions), All Subjects,Book_Type,Most common subject phrase,From top 200 phrases,Subjects,Most common subject phrase normalized
A Tale of Two Cities,Charles Dickens,English,1859,Historical fiction,200000000.0,"British, British and irish fiction (fictional works by one author), Children's fiction, Criticism and interpretation, English fiction, English literature, Executions and executioners, Fathers and daughters, Fiction, classics, Histoire, Historia, Historical fiction, History, Juvenile fiction, Lookalikes, Novela, Novela inglesa, Padre e hija, Pères et filles, Readers, Roman français, Sosies, War stories, Reign of Terror, storming of the Bastille, French Revolution, Guillotine, French, Romans, nouvelles, IIIT, French fiction, Comics & graphic novels, British and irish drama (dramatic works by one author), Drama, Plays, Readers' theater, Juvenile drama, Children's plays, American, France, history, revolution, 1789-1799, fiction, London (england), history, fiction, Paris (france), history, fiction, Fathers and daughters, fiction, London (england), fiction, Paris (france), fiction, Fiction, historical, general, LANGUAGE & LITERARY STUDIES, FICTION CLASSICS, CONTEMPORARY FICTION, Revolution, Classic Literature, Revenge, Loyalty, Political refugees, Friendship, Revolution (France : 1789-1799), revolution 1789-1799, Comic books, strips, Adaptations, Literature, Comics & graphic novels, literary, Fiction, general, Reference books, Translations in Japanese, Japanese literature, Translations from English, Translations into Japanese, Juvenile Nonfiction, Children's Books/Ages 9-12 Fiction, Children: Grades 3-4, History Revolution, 1789-1799--Fiction, City and town life",Non-fiction,childrens fiction,"adaptations, american, childrens fiction, childrens plays, classic literature, classics, comic books, comics  graphic novels, criticism and interpretation, drama, english fiction, english literature, fathers and daughters, france, french, friendship, histoire, historia, historical, historical fiction, history, juvenile fiction, literary, literature, nouvelles, novela, plays, readers, romans, strips, translations from english","adaptations, american, childrens fiction, childrens plays, classics, comic books, comics  graphic novels, criticism and interpretation, drama, english fiction, english literature, fathers and daughters, france, french, friendship, historical, historical fiction, history, hoistorical, juvenile fiction, literature, nouvelles, novel, plays, readers, romans, strips, translations from english",childrens fiction
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,"Fantasy, children's fiction",200000000.0,"adventure, fantasy, friendship, love, childhood, loss, loneliness, Italian language, Children's fiction, Friendship, fiction, Fantasy fiction, Princes, fiction, Fairy tales, Adventure and adventurers, fiction, Princes, Fiction, Toy and movable books, Continental european fiction (fictional works by one author), French language, readers, Romans, nouvelles, Travel, fiction, Juvenile fiction, Children's stories, French, Translations into Turkish, Children's stories, Turkish, Pride and vanity, In library, Asteroids, Conduct of life, Translations into Spanish, Fantasmes, Romans, nouvelles, etc. pour la jeunesse, Príncipes, Novela juvenil, Fiction, general, Philosophy, Princes -- Juvenile fiction, Air pilots -- Juvenile fiction, Friendship -- Juvenile fiction, Princes -- Romans, nouvelles, etc. pour la jeunesse, Pilotes d'aéronef -- Romans, nouvelles, etc. pour la jeunesse, Pilotos aéreos -- Novela juvenil, Príncipes -- Novela juvenil, Amistad -- Novela juvenil, Cuentos de hadas, Air pilots, Novela fantástica, Deaf children, Juvenile, Pied Piper of Hamelin (Legendary character), Legends, Foxes, Deserts, Children's literature, french, Translations into english, Short novel, Translations into serbo-croatian, Allegories, Extraterrestrial beings, Juvenile films, Drama, Planets, Rhaeto-romance/romansh literature, Rhaeto-romance/romansh prose, Texts translated into rhaeto-romance/romansh, Fantastic fiction, General, Fiction - general, Nyt:picture-books=2009-12-27, New york times bestseller, Literary collections",Fiction,fantasy,"adventure and adventurers, childrens fiction, childrens literature, childrens stories, conduct of life, drama, etc pour la jeunesse, fairy tales, fantasy, fantasy fiction, fiction  general, french, friendship, juvenile, juvenile fiction, love, new york times bestseller, nouvelles, novela juvenil, philosophy, readers, romans, toy and movable books, translations into english, travel","adventure and adventurers, childrens fiction, childrens literature, childrens stories, conduct of life, drama, etc pour la jeunesse, fairy tales, fantasy, fantasy fiction, fiction  general, french, friendship, juvenile, juvenile fiction, love, new york times bestseller, nouvelles, novela juvenil, philosophy, readers, romans, toy and movable books, translations into english, travel",fantasy
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,Fantasy,150000000.0,"Translations into Indonesian, Voyages and travels, Fiction, Portuguese Fiction, Self-realization, Alchemists, Young men, Shepherds, New York Times bestseller, nyt:trade_fiction_paperback=2008-01-05, nyt:trade_fiction_paperback=2007-12-02, Fiction, visionary & metaphysical, Spain, fiction, FICTION / Literary, BODY, MIND & SPIRIT / Spirituality / General, BODY, MIND & SPIRIT / Inspiration & Personal Growth, Fables, Translations from English, Thai fiction, French language, Reading materials, Russian language edition, Powieść brazylijska, Tłumaczenia polskie, Mexican literature, Alquimia, Novela, Pastores, Andalucía (España), Alquimistas, Large type books, Fiction, fantasy, general, Alchemy, Quests (Expeditions), Literary, BODY, MIND & SPIRIT, Spirituality, General, Inspiration & Personal Growth, Expeditions, Parodies, imitations, Alchemists--fiction, Shepherds--spain--andalusia--fiction, 869.3, History, Politics and government",Fiction,large type books,"fantasy, fiction  literary, history, large type books, literary, new york times bestseller, novela, politics and government, translations from english, voyages and travels","fantasy, fiction  literary, history, large type books, literature, new york times bestseller, novel, politics and government, translations from english, voyages and travels",large type books
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,"Fantasy, children's fiction",120000000.0,"Ghosts, Monsters, Vampires, Witches, Challenges and Overcoming Obstacles, Magic and Supernatural, Cleverness, School Life, school stories, Wizards, Magic, MAGIA, MAGOS, Juvenile fiction, Fiction, NOVELAS INGLESAS, Schools, orphans, fantasy fiction, England in fiction, Witches in fiction, Wizards in fiction, Alchemy, New York Times bestseller, Juvenile literature, Magic in fiction, Open Library Staff Picks, Juvenile audience, Children's stories, Juvenile works, Schools in fiction, Fantasy, Hogwarts School of Witchcraft and Wizardry (Imaginary place), Harry Potter (Fictitious character), Ficción juvenil, Escuelas, Hogwarts School of Witchcraft and Wizardry (Imaginary organization), Translations from English, Chinese fiction, Hermione Granger (Fictitious character), Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Hogwarts school of witchcraft and wizardry (imaginary organization), fiction, Children's fiction, Schools, fiction, England, fiction, Potter, harry (fictitious character), fiction, Wizards, fiction, Magic, fiction, Fiction, fantasy, general, Large type books, Magier, Fabeltiere, Lehrling, Kinderbuch, Stein der Weisen, Ungeheuer, Junge, English language, Translating into Welsh, Modern history to 20th century: c 1700 to c 1900, Literary theory, English literature, Ron Weasley (Fictitious character), Latin language materials, Romans, nouvelles, etc. pour la jeunesse, Poudlard, école de sorcellerie (Organisation imaginaire), Sorciers, Sorcières, Magie, Internats, Adventure and adventurers, fiction, Action & Adventure, Fantasy & Magic, Social Themes, Friendship, Harry Potter (Fictional character), Friendship, fiction, German language materials, Witchcraft, fiction, Wizard, NOVELAS FANTÁSTICAS, NOVELAS JUVENILES INGLESAS, LITERATURA JUVENIL ESTADOUNIDENSE, Écoles, Hechicería, Novela juvenil, Ingleterra, Mystery, roman, English Fantasy literature, Translations into Marathi, English fiction, Translations into Chinese, Children - harry potter, Teen fiction, Children - fiction & literature, Science fiction & fantasy, Fiction - people, Places & cultures, Adventure, Supernatural",Fiction,large type books,"action  adventure, adventure and adventurers, childrens fiction, childrens stories, england, english fiction, english language, english literature, etc pour la jeunesse, fantasy, fantasy fiction, ficción juvenil, friendship, juvenile fiction, juvenile literature, juvenile works, large type books, magic, mystery, new york times bestseller, nouvelles, novela juvenil, open library staff picks, orphans, potter, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 9, roman, romans, schools, social themes, supernatural, translations from english, vampires, witches, wizards","action  adventure, adventure and adventurers, childrens fiction, childrens stories, england, english fiction, english language, english literature, etc pour la jeunesse, fantasy, fantasy fiction, friendship, juvenile fiction, juvenile literature, juvenile works, large type books, magic, mystery, new york times bestseller, nouvelles, novela juvenil, open library staff picks, orphans, others, potter, romans, schools, social themes, supernatural, translations from english, vampires, witches, wizards",large type books
And Then There Were None,Agatha Christie,English,1939,Mystery,100000000.0,"Roman policier, French language materials, Français (langue), Lectures et morceaux choisis, cyanide poisoning, chloral hydrate, potassium cyanide, Scotland Yard, coroners, message in a bottle, Detective and mystery stories, Mystery fiction, murder, Fiction, Millionaires, Murder victims, Islands, Millionaires in fiction, Murder victims in fiction, Islands in fiction, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Crime, Historical, Mystery & Detective, Traditional, Roman anglais, Littérature anglaise, English language, Fiction, mystery & detective, traditional, Fiction, thrillers, suspense, Fiction, mystery & detective, general, Fiction, crime, English literature, England, fiction, English Detective and mystery stories, General, Serial murders, fiction",Fiction,historical,"crime, detective and mystery stories, england, english language, english literature, historical, murder, mystery  detective, mystery fiction, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 9, suspense, thrillers","crime, detective and mystery stories, england, english language, english literature, historical, murder, mystery  detective, mystery fiction, others, suspense, thriller",historical
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,Family saga,100000000.0,"Fiction, History, Baoyu Jia (Fictitious character), Chinese fiction, Upper class, Social life and customs, Families, Juvenile literature, Women, Popular Print Disabled Books, Qing Dynasty (China), Fiction, general, China, fiction, Near and far eastern fiction (fictional works by one author), Fiction, historical, Chia, pao-yu (fictitious character), fiction, Fiction, historical, general",Fiction,history,"families, historical, history, juvenile literature, social life and customs, women","family, historical, history, juvenile literature, social life and customs, women",history
The Hobbit,J. R. R. Tolkien,English,1937,"Fantasy, children's fiction",100000000.0,"Arkenstone, Battle of Five Armies, invisibility, thrushes, eagles, hobbits, wizards, dragons, dwarves, elves, men, trolls, goblins, giant spiders, the one ring, juvenile fantasy, YOUNG ADULT FICTION, Fantasy fiction, Juvenile fiction, Fiction, Fantasy, Classics, General, Media Tie-In, children's books, juvenile works, Teen & Young Adult literature, English Fantasy fiction, Specimens, Juvenile Fantasy fiction, Toy and movable books, Magic in fiction, Open Library Staff Picks, juvenile literature, Pictorial works, Magic, Quests (Expeditions), Graphic novels, Dragons in fiction, Children's stories, Ficción fantástica inglesa, Fantasy in fiction, Translations into Russian, Ficción, Middle Earth (Imaginary place), Tierra Media (Lugar imaginario), Bilbo Baggins (Fictitious character), Dwarfs, Comic books, strips, Reading Level-Grade 11, Reading Level-Grade 12, British and irish fiction (fictional works by one author), Fiction, fantasy, general, Middle earth (imaginary place), fiction, Comics & graphic novels, fantasy, Science fiction, fantasy, horror, Child and youth fiction, Gollum (Fictitious character), Hobbits (Fictitious characters), Baggins, bilbo (fictitious character), fiction, Children's fiction, Gandalf (fictitious character), fiction, Baggins, frodo (fictitious character), fiction, Characters, Characters and characteristics, Hobbit, an unexpected journey (Motion picture), Hobbit (Tolkien, J.R.R.), YOUNG ADULT FICTION / Classics, YOUNG ADULT FICTION / Fantasy / General, YOUNG ADULT FICTION / Media Tie-In, Motion pictures, Fiction, fantasy, epic, English literature, Fiction, media tie-in, Large type books, Courage, Literatura angielska dla młodzieży, Tłumaczenia polskie, Novela Inglesa, Spanish language materials, Untranslated, Terre du Milieu (Lieu imaginaire), Romans, nouvelles, Hobbits (Personnages fictifs), Novela fantástica, Magiciens, Schultheater, Fiction, fairy tales, folk tales, legends & mythology, Fiction, fantasy, dragons & mythical creatures, Comics & graphic novels, fantasy, general, Protected DAISY, Accessible book, Good and evil, English Fantasy literature, English fiction",Fiction,large type books,"accessible book, child and youth fiction, childrens fiction, childrens stories, classics, comic books, comics  graphic novels, english fiction, english literature, epic, fairy tales, fantasy, fantasy fiction, ficción, good and evil, graphic novels, horror, juvenile fiction, juvenile literature, juvenile works, large type books, magic, nouvelles, open library staff picks, pictorial works, protected daisy, reading levelgrade 11, reading levelgrade 12, romans, science fiction, spanish language materials, specimens, strips, toy and movable books, wizards, young adult fiction","accessible book, child and youth fiction, childrens fiction, childrens stories, classics, comic books, comics  graphic novels, english fiction, english literature, epic, fairy tales, fantasy, fantasy fiction, fiction, good and evil, graphic novels, horror, juvenile fiction, juvenile literature, juvenile works, large type books, magic, nouvelles, open library staff picks, others, pictorial works, protected daisy, romans, science fiction, spanish language, specimens, strips, toy and movable books, wizards, young adult fiction",large type books
Alice's Adventures in Wonderland,Lewis Carroll,English,1865,"Fantasy, absurdist fiction",100000000.0,"Alice (fictitious character : carroll), fiction, British and irish fiction (fictional works by one author), Fiction, fantasy, general, JUVENILE FICTION, classics, Fantasy & Magic, Imagination & Play, adventure and adventurers, adventure and adventurers, fiction, adventure stories, adventure travel, animals, anthropomorphism, artists' illustrated books, books and reading, child and youth fiction, children, children's fiction, children's literature, children's literature, english, children's stories, children's stories, english, classic literature, coloring books, croquet, cuentos infantiles ingleses, curiosidad, curiosidad en los niños, curiosity, curiosity in children, english, english adventure stories, english fantastic fiction, english fantasy fiction, english fantasy literature, english language, english literature, english nonsense verses, fairy tales, fantasy, fantasy fiction, fantasy in fiction, fantasy  magic, fantasía, ficción juvenil, fiction, friendship, girls, girls, fiction, hookahs, humor, humorous stories, illustrations, imaginary places, juvenile literature, legends, literary nonsense, logic, lugares imaginarios, mythical animals, niñas, nonsense verses, novela, novela fantástica, novela juvenil, open library staff picks, picture books, playing cards, rabbits, readers, reading materials, short novel, tea, texts, Alice (Fictitious character : Carroll), English language, textbooks for foreign speakers, Fantastique, Enfants, Affirmation de soi, Spanish language materials, Alicia (Personaje literario : Carroll), Spanish language, nyt:chapter-books=2010-02-21, New York Times bestseller, Literatura infanto-juvenil, Literatura inglesa, Carroll, lewis, 1832-1898, Children's literature, history and criticism, Children, books and reading, Crocheting, Fiction, general, Fantasy fiction, history and criticism, Toy and movable books, Imagination, Textbooks for foreign speakers, Readers for new literates, High interest-low vocabulary books, Science fiction, CUENTO INFANTIL INGLES, History and criticism, Translations into Irish, Irish literature, Swahili language, Accessible book, Protected DAISY, Internet Archive Wishlist, Ficc ʹa o (ge nero), Shi jie wen xue, Xiao shuo, Fantasi a, Tong hua, Suo xie, Shao er du wu, Pin yin du wu, Children's stories, Chinese, Chinese language, Translations into Polish, Ying yu, Yu yan du wu, Large type books, Decision making, Juvenile Wit and humor, Conduct of life, Illusion (Philosophy), Innocence (Psychology), Dreams, Courts and courtiers, Theft, Courts, Curiosité, Romans, nouvelles, etc. pour la jeunesse, Prise de décision, Humour pour la jeunesse, Morale pratique, Lieux imaginaires, Illusion (Philosophie), Rêves, Cartes à jouer, Cours et courtisans, Croquet (Jeu), Vol (Droit), Tribunaux, Histoires pour enfants anglaises, Literature, collections, Fiction, short stories (single author), Contes de fées, English fiction, Translations into Ladino, Nonsense literature, Fantasmes, Dinosaurier, Utdöda djur, Urtidsdjur, Forntiden, Geologi, Evolution, Jorden, Fantastiske fortællinger, Translations into Yiddish, Criticism and interpretation, History, Alice's adventures in Wonderland (Carroll, Lewis), Alice in Wonderland;, North, Rural-urban migration, Russian language",Fiction,large type books,"accessible book, adventure and adventurers, adventure stories, animals, books and reading, child and youth fiction, children, childrens fiction, childrens literature, childrens stories, classic literature, classics, conduct of life, criticism and interpretation, english, english fiction, english language, english literature, etc pour la jeunesse, fairy tales, fantasy, fantasy fiction, ficción juvenil, friendship, girls, history, history and criticism, humor, humorous stories, juvenile fiction, juvenile literature, large type books, literature, new york times bestseller, nouvelles, novela, novela juvenil, open library staff picks, picture books, protected daisy, rabbits, readers, romans, science fiction, spanish language, spanish language materials, textbooks for foreign speakers, toy and movable books","accessible book, adventure and adventurers, adventure stories, animals, books and reading, child and youth fiction, children, childrens fiction, childrens literature, childrens stories, classics, conduct of life, criticism and interpretation, english, english fiction, english language, english literature, etc pour la jeunesse, fairy tales, fantasy, fantasy fiction, friendship, girls, history, history and criticism, humorous, juvenile fiction, juvenile literature, large type books, literature, new york times bestseller, nouvelles, novel, novela juvenil, open library staff picks, picture books, protected daisy, rabbits, readers, romans, science fiction, spanish language, textbooks for foreign speakers, toy and movable books",large type books
"The Lion, the Witch and the Wardrobe",C.S. Lewis,English,1950,"Fantasy, children's fiction",85000000.0,"the Blitz, fauns, Turkish Delight, lions, English Children's stories, Fantasy & Magic, Action & Adventure, Classics, juvenile works, English Fantasy fiction, Witches, Winter, Science Fiction & Fantasy, English Christian fiction, Spanish language materials, Fiction, Good and evil, Leones, christianity, Open Library Staff Picks, Brujas, Magic, Translations from English, Children's stories, English, Ficción juvenil, Novela fantástica, open_syllabus_project, siblings, Fantasy fiction, Juvenile fiction, Bien y mal, Fantasy, Fairy tales, Lion, JUVENILE FICTION / Fantasy & Magic, Narnia (Imaginary place), JUVENILE FICTION / Classics, Children, Animals, Aslan the Lion (Fictitious character), JUVENILE FICTION / Action & Adventure, Friendship, Narnia (Lugar imaginario), Narnia (imaginary place), fiction, Children's fiction, Large type books, Children's literature, study and teaching, British and irish fiction (fictional works by one author), Adventure and adventurers, fiction, Child and youth fiction, Lion, fiction, Witches, fiction, Short stories, Literature and fiction, fantasy, Fiction, fantasy, general, Fiction, action & adventure, Pictorial works, Fiction, thrillers, general",Fiction,large type books,"action  adventure, adventure and adventurers, animals, child and youth fiction, children, childrens fiction, childrens literature, childrens stories, classics, english, fairy tales, fantasy, fantasy fiction, ficción juvenil, friendship, good and evil, juvenile fiction, juvenile works, large type books, literature and fiction, magic, open library staff picks, open_syllabus_project, pictorial works, short stories, siblings, spanish language materials, study and teaching, thrillers, translations from english, witches","action  adventure, adventure and adventurers, animals, child and youth fiction, children, childrens fiction, childrens literature, childrens stories, classics, english, fairy tales, fantasy, fantasy fiction, friendship, good and evil, juvenile fiction, juvenile works, large type books, literature and fiction, magic, open library staff picks, open_syllabus_project, pictorial works, short stories, siblings, spanish language, study and teaching, thriller, translations from english, witches",large type books
She: A History of Adventure,H. Rider Haggard,English,1887,Adventure,83000000.0,"Fiction in English, Adventure and adventurers, Reincarnation, Fiction inEnglish, Allan Quatermain (Fictitious character), English Adventure stories, Fiction, Immortalism, Adventure, Open Library Staff Picks, Hunting guides, Ayesha (Fictitious character : Haggard), Women, English Science fiction, Ayesha (Fictitious character : Haggard) -- Fiction, Haggard, h. rider (henry rider), 1856-1925, Africa, fiction, Fiction, fantasy, general, Ayesha (fictitious character : haggard), fiction, Fiction, action & adventure, Fiction, fantasy, historical, Ayesha (fictitious character : haggard), Women--africa--fiction, Reincarnation--fiction, Immortalism--fiction, Ayesha (fictitious character : haggard)--fiction, Pr4731 .s6 2006, 823/.8",Fiction,fantasy,"action  adventure, adventure and adventurers, fantasy, fiction in english, historical, open library staff picks, women","action  adventure, adventure and adventurers, fantasy, fiction in english, historical, open library staff picks, women",fantasy
